observed_at,team,function_id,metric,threshold_op,threshold_value,source
2026-08-16,ankr,chain-sync-rpc-calibnet-head-lag,rpc_calibnet_head_lag_epochs,<=,5.0,provisional
2026-08-16,ankr,chain-sync-rpc-mainnet-head-lag,rpc_head_lag_epochs,<=,5.0,provisional
2026-08-16,blockscout,calibnet-explorer-blockscout,blockscout_calibnet_head_age_seconds,<=,3600.0,provisional
2026-08-16,blockscout,fevm-mainnet-explorer-blockscout,blockscout_mainnet_head_age_seconds,<=,3600.0,provisional
2026-08-16,blockscout,mainnet-block-explorer,explorer_max_tipset_gap_seconds,<=,90.0,provisional
2026-08-16,chain-love,chain-sync-rpc-fevm-eth-head-lag,fevm_eth_head_lag_epochs,<=,10.0,provisional
2026-08-16,chain-love,chain-sync-rpc-mainnet-head-lag,rpc_head_lag_epochs,<=,5.0,provisional
2026-08-16,chainsafe,bootstrap-dns-mainnet,bootstrap_dns_status,==,0.0,provisional
2026-08-16,chainsafe,calibnet-miner-power,calibnet_miner_qap_bytes,>=,250000000000000.0,provisional
2026-08-16,chainsafe,calibnet-snapshot-freshness,calibnet_snapshot_age_seconds,<=,21600.0,provisional
2026-08-16,chainsafe,forest-release-cadence,avg_days_between_releases,<=,45.0,provisional
2026-08-14,chainsafe,forest-snapshots,snapshot_freshness_hours,<=,6.0,provisional
2026-08-16,chainsafe,mainnet-snapshot-freshness,snapshot_age_seconds,<=,21600.0,provisional
2026-08-14,chainsafe,network-uptime,uptime_ratio,>=,0.999,provisional
2026-08-16,fil-b,network-documentation-commit-recency,docs_last_commit_age_days,<=,60.0,provisional
2026-08-16,filecoin-data-portal,network-data-portal-pipeline-freshness,pipeline_success_age_days,<=,3.0,provisional
2026-08-16,filoz,curio-pdp-active-proofsets,pdp_active_proof_sets,>=,500.0,provisional
2026-08-16,filoz,curio-sealing-release-cadence,avg_days_between_releases,<=,45.0,provisional
2026-08-16,filoz,curio-windowpost-winningpost-scheduler,avg_blocks_per_tipset,>=,4.5,provisional
2026-08-16,goldsky,fevm-chain-indexing-errors,fevm_subgraph_indexing_errors,==,0.0,provisional
2026-08-16,goldsky,fevm-chain-indexing-freshness,fevm_subgraph_indexing_lag_seconds,<=,600.0,provisional
2026-08-16,oif-ipni,content-routing-ipni,ipni_error_free_ratio,>=,0.9,provisional
2026-08-16,oif-ipni,content-routing-ipni-ingest-liveness,ipni_providers_advertised_24h,>=,15.0,provisional
2026-08-16,oif-ipni,content-routing-ipni-provider-count,ipni_provider_count,>=,100.0,provisional
2026-08-16,plumbline,calibnet-sp-power-share,calibnet_miner_qap_share,<,0.3334,provisional
2026-08-16,randamu,drand-relay-mirror-liveness,relay_mirror_round_lag,<=,2.0,provisional
2026-08-16,randamu,drand-relay-quicknet-freshness,relay_quicknet_round_lag,<=,20.0,provisional
2026-08-16,randamu,drand-relay-statuspage,statuspage_impact_level,<=,0.0,provisional
2026-08-16,randamu,drand-release-cadence,avg_days_between_releases,<=,45.0,provisional
2026-08-16,randamu,randomness-beacon,beacon_round_lag,<=,1.0,provisional
2026-08-16,secured-finance,usdfc-axlusdc-pool-tvl,usdfc_pool_tvl_usd,>=,170000.0,provisional
2026-08-16,secured-finance,usdfc-axlusdc-pool-volume,usdfc_pool_volume_usd,>=,1000.0,provisional
2026-08-16,zondax,rosetta-release-currency,rosetta_release_age_days,<=,60.0,provisional
2026-08-16,zondax,zondax-node-rpc-archival-depth,archival_tipset_height_served,==,100000.0,provisional
